date,machine_id,assembly_line_no,hydraulic_pressurebar,coolant_pressurebar,air_system_pressurebar,coolant_temperature,hydraulic_oil_temperaturec,spindle_bearing_temperaturec,spindle_vibrationm,tool_vibrationm,spindle_speedrpm,voltagevolts,torquenm,cuttingkn,downtime,date_parsed,year,month,day,day_of_week,is_weekend,hydraulic_pressurebar_is_outlier,coolant_pressurebar_is_outlier,air_system_pressurebar_is_outlier,coolant_temperature_is_outlier,hydraulic_oil_temperaturec_is_outlier,spindle_bearing_temperaturec_is_outlier,spindle_vibrationm_is_outlier,tool_vibrationm_is_outlier,spindle_speedrpm_is_outlier,voltagevolts_is_outlier,torquenm_is_outlier,cuttingkn_is_outlier,downtime_flag,reason_preview,temp_diff,vibration_total,pressure_ratio,normalized_speed,load_index
31-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,71.04,6.933724915,6.284964506,25.6,46.0,33.4,1.291,26.492,25892.0,335.0,24.05532601,3.58,Machine_Failure,2021-12-31,2021,12,31,Friday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-20.4,27.783,10.24557519527727,0.9261365668705512,17.912728207
31-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,125.33,4.936891865,6.19673253,35.3,47.4,34.6,1.382,25.274,19856.0,368.0,14.20288973,2.68,Machine_Failure,2021-12-31,2021,12,31,Friday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-12.100000000000001,26.656000000000002,25.386417897569245,0.7102335729870873,10.746022811
31-12-2021,Makino-L3-Unit1-2015,Shopfloor-L3,71.12,6.839413159,6.655448451,13.1,40.7,33.0,1.319,30.608,19851.0,325.0,24.04926704,3.55,Machine_Failure,2021-12-31,2021,12,31,Friday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-27.6,31.927,10.398552967430112,0.7100547269020281,17.899486928
31-05-2022,Makino-L2-Unit1-2015,Shopfloor-L2,139.34,4.574382007,6.560393963,24.4,44.2,40.6,0.618,30.791,18461.0,360.0,25.86002925,3.55,Machine_Failure,2022-05-31,2022,5,31,Tuesday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-19.800000000000004,31.409,30.460945278897434,0.6603355152555711,19.167020475
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,60.51,6.893181921,6.141237748,4.1,47.3,31.4,0.983,25.516,26526.0,354.0,25.51587386,3.55,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-43.199999999999996,26.499,8.778239236027845,0.9488142504560575,18.926111702
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,137.37,5.918357337,7.228066182,5.4,48.0,32.7,0.903,25.597,27613.0,319.0,25.52133005,3.55,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-42.6,26.5,23.210832360729423,0.9876953893479272,18.929931035
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,135.93,6.560332199,6.710999273,19.3,48.8,37.4,1.24,32.138,26605.0,438.0,25.45465209,3.58,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-29.499999999999996,33.378,20.71998732331268,0.9516400185999928,18.892256463
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,127.7151635,5.060708564,6.002229092,20.8,45.8,37.5,1.125,19.823,14266.0,334.0,34.97300419,2.02,No_Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,-24.999999999999996,20.948,25.236616945010077,0.5102836498909039,25.087102932999997
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,123.618456,5.074379701,6.039523625,4.5,51.5,32.1,0.69,16.972,20413.0,278.0,32.51929855,2.88,No_Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,-47.0,17.662000000000003,24.36129404656863,0.730157026862682,23.627508985000002
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,134.02,5.567856573,6.733095792,14.0,47.9,35.2,0.748,36.601,20504.0,379.0,25.61856721,3.93,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-33.9,37.349,24.07030393884394,0.7334120256107594,19.111997046999996
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,71.71,5.358623507,6.525744181,34.3,43.0,32.4,0.671,25.069,17919.0,396.0,25.46144,3.67,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-8.700000000000003,25.74,13.382167996375342,0.6409485996351539,18.924007999999997
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,134.54,4.566853902,5.758371467,11.5,46.2,37.6,0.661,18.75,21951.0,366.0,25.61306937,3.59,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-34.7,19.411,29.460105991365253,0.7851700826268913,19.006148559000003
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,55.53,6.960635908,6.382844492,14.7,47.2,36.2,0.896,29.317,25528.0,364.0,25.46415618,3.69,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Hydraulic_Pressure_Drop,-32.5,30.213,7.977719382819354,0.9131165718782416,18.931909326
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,61.73,4.62776082,6.082861294,30.3,50.2,28.0,0.884,27.513,18660.0,328.0,25.58424437,3.55,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-19.900000000000002,28.397000000000002,13.339064485186595,0.6674535894409271,18.973971059
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,80.27,4.622771809,6.335997361,29.8,51.2,31.1,0.438,26.668,18644.0,349.0,25.60620039,3.67,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-21.400000000000002,27.105999999999998,17.364041167622343,0.6668812819687377,19.025340272999998
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,142.36,4.624427746,7.13147428,28.7,44.9,31.0,0.46,33.567,18648.0,341.0,25.60070785,3.69,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-16.2,34.027,30.78434950640918,0.667024358836785,19.027495494999997
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,63.76,4.62478014,6.537125848,27.0,45.1,38.6,0.899,35.34,18650.0,297.0,25.59796247,3.67,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-18.1,36.239000000000004,13.786601323711789,0.6670958972708088,19.019573728999998
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,141.14,4.626567992,6.870613037,26.4,52.6,33.8,1.118,21.192,18654.0,287.0,25.59247346,3.61,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-26.200000000000003,22.31,30.506414310575636,0.6672389741388561,18.997731421999998
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,93.65,4.84252053,6.084632707,19.5,52.3,35.2,1.211,21.886,23432.0,434.0,25.46551448,3.67,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-32.8,23.096999999999998,19.3391023166194,0.8381442930214258,18.926860136
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,74.86,6.863944117,6.164535184,15.7,44.5,38.7,1.428,20.86,21951.0,346.0,25.52269447,2.49,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-28.8,22.288,10.906265949134621,0.7851700826268913,18.612886129
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,80.34,4.86086247,6.751147706,6.9,48.1,38.3,1.834,29.718,27957.0,409.0,25.46008213,3.61,Machine_Failure,2022-03-31,2022,3,31,Thursday,False,0,0,0,0,0,0,0,0,0,0,0,0,1,High_Vibration,-41.2,31.552,16.527931101905875,1.0,18.905057490999997
