machine_id,assembly_line_no,hydraulic_pressurebar,coolant_pressurebar,air_system_pressurebar,coolant_temperature,hydraulic_oil_temperaturec,spindle_bearing_temperaturec,spindle_vibrationm,tool_vibrationm,spindle_speedrpm,voltagevolts,torquenm,cuttingkn,downtime,date_parsed,year,month,day,day_of_week,is_weekend,hydraulic_pressurebar_is_outlier,coolant_pressurebar_is_outlier,air_system_pressurebar_is_outlier,coolant_temperature_is_outlier,hydraulic_oil_temperaturec_is_outlier,spindle_bearing_temperaturec_is_outlier,spindle_vibrationm_is_outlier,tool_vibrationm_is_outlier,spindle_speedrpm_is_outlier,voltagevolts_is_outlier,torquenm_is_outlier,cuttingkn_is_outlier,downtime_flag,reason_preview,temp_diff,vibration_total,pressure_ratio,normalized_speed,load_index,id,ingestion_time
Makino-L1-Unit1-2013,Shopfloor-L1,71.0400009155273,6.93372488021851,6.2849645614624,25.6000003814697,46,33.4000015258789,1.29100000858307,26.492000579834,25892,335,24.055326461792,3.57999992370605,Machine_Failure,2021-12-31,2021,12,31,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-20.3999996185303,27.7830009460449,10.2455749511719,0.926136553287506,17.912727355957,1,2025-11-28 17:24:13.3792227
Makino-L1-Unit1-2013,Shopfloor-L1,125.330001831055,4.93689203262329,6.19673252105713,35.2999992370605,47.4000015258789,34.5999984741211,1.38199996948242,25.2740001678467,19856,368,14.2028894424438,2.6800000667572,Machine_Failure,2021-12-31,2021,12,31,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-12.1000003814697,26.6560001373291,25.386417388916,0.710233569145203,10.7460231781006,2,2025-11-28 17:24:13.3792227
Makino-L3-Unit1-2015,Shopfloor-L3,71.120002746582,6.83941316604614,6.65544843673706,13.1000003814697,40.7000007629395,33,1.31900000572205,30.6079998016357,19851,325,24.0492668151855,3.54999995231628,Machine_Failure,2021-12-31,2021,12,31,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-27.6000003814697,31.9270000457764,10.3985528945923,0.710054755210876,17.899486541748,3,2025-11-28 17:24:13.3792227
Makino-L2-Unit1-2015,Shopfloor-L2,139.339996337891,4.57438182830811,6.56039381027222,24.3999996185303,44.2000007629395,40.5999984741211,0.617999970912933,30.7910003662109,18461,360,25.8600292205811,3.54999995231628,Machine_Failure,2022-05-31,2022,5,31,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-19.7999992370605,31.4090003967285,30.4609451293945,0.660335540771484,19.1670207977295,4,2025-11-28 17:24:13.3792227
Makino-L1-Unit1-2013,Shopfloor-L1,60.5099983215332,6.89318180084229,6.14123773574829,4.09999990463257,47.2999992370605,31.3999996185303,0.982999980449677,25.5160007476807,26526,354,25.5158729553223,3.54999995231628,Machine_Failure,2022-03-31,2022,3,31,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-43.2000007629395,26.4990005493164,8.77823925018311,0.948814272880554,18.9261112213135,5,2025-11-28 17:24:13.3792227
Makino-L2-Unit1-2015,Shopfloor-L2,137.369995117188,5.91835737228394,7.22806596755981,5.40000009536743,48,32.7000007629395,0.902999997138977,25.5970001220703,27613,319,25.5213298797607,3.54999995231628,Machine_Failure,2022-03-31,2022,3,31,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-42.5999984741211,26.5,23.2108325958252,0.987695395946503,18.929931640625,6,2025-11-28 17:24:13.3792227
Makino-L1-Unit1-2013,Shopfloor-L1,135.929992675781,6.56033229827881,6.71099948883057,19.2999992370605,48.7999992370605,37.4000015258789,1.24000000953674,32.1380004882813,26605,438,25.4546527862549,3.57999992370605,Machine_Failure,2022-03-31,2022,3,31,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-29.5,33.3779983520508,20.7199878692627,0.951640009880066,18.8922557830811,7,2025-11-28 17:24:13.3792227
Makino-L3-Unit1-2015,Shopfloor-L3,127.71516418457,5.06070852279663,6.0022292137146,20.7999992370605,45.7999992370605,37.5,1.125,19.8229999542236,14266,334,34.9730033874512,2.01999998092651,No_Machine_Failure,2022-03-31,2022,3,31,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,-25,20.9479999542236,25.2366161346436,0.510283648967743,25.0871028900146,8,2025-11-28 17:24:13.3792227
Makino-L3-Unit1-2015,Shopfloor-L3,123.618453979492,5.07437992095947,6.03952360153198,4.5,51.5,32.0999984741211,0.689999997615814,16.9720001220703,20413,278,32.5192985534668,2.88000011444092,No_Machine_Failure,2022-03-31,2022,3,31,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal,-47,17.6620006561279,24.3612937927246,0.730157017707825,23.6275081634521,9,2025-11-28 17:24:13.3792227
Makino-L3-Unit1-2015,Shopfloor-L3,134.020004272461,5.56785678863525,6.73309564590454,14,47.9000015258789,35.2000007629395,0.748000025749207,36.601001739502,20504,379,25.6185665130615,3.9300000667572,Machine_Failure,2022-03-31,2022,3,31,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal,-33.9000015258789,37.3489990234375,24.0703048706055,0.733412027359009,19.1119976043701,10,2025-11-28 17:24:13.3792227
