date,machine_id,assembly_line_no,hydraulic_pressurebar,coolant_pressurebar,air_system_pressurebar,coolant_temperature,hydraulic_oil_temperaturec,spindle_bearing_temperaturec,spindle_vibrationm,tool_vibrationm,spindle_speedrpm,voltagevolts,torquenm,cuttingkn,downtime,date_parsed,year,month,day,day_of_week,is_weekend,hydraulic_pressurebar_is_outlier,coolant_pressurebar_is_outlier,air_system_pressurebar_is_outlier,coolant_temperature_is_outlier,hydraulic_oil_temperaturec_is_outlier,spindle_bearing_temperaturec_is_outlier,spindle_vibrationm_is_outlier,tool_vibrationm_is_outlier,spindle_speedrpm_is_outlier,voltagevolts_is_outlier,torquenm_is_outlier,cuttingkn_is_outlier,downtime_flag,temp_diff,vibration_total,pressure_ratio,normalized_speed,load_index,final_reason
31-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,71.04,6.933724915,6.284964506,25.6,46,33.4,1.291,26.492,25892,335,24.05532601,3.58,Machine_Failure,12/31/2021,2021,12,31,Friday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-20.4,27.783,10.2455752,0.926136567,17.91272821,High_CuttingForce_with_Low_HydraulicPressure
31-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,125.33,4.936891865,6.19673253,35.3,47.4,34.6,1.382,25.274,19856,368,14.20288973,2.68,Machine_Failure,12/31/2021,2021,12,31,Friday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-12.1,26.656,25.3864179,0.710233573,10.74602281,Low_Torque
31-12-2021,Makino-L3-Unit1-2015,Shopfloor-L3,71.12,6.839413159,6.655448451,13.1,40.7,33,1.319,30.608,19851,325,24.04926704,3.55,Machine_Failure,12/31/2021,2021,12,31,Friday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-27.6,31.927,10.39855297,0.710054727,17.89948693,High_CuttingForce_with_Low_HydraulicPressure
31-05-2022,Makino-L2-Unit1-2015,Shopfloor-L2,139.34,4.574382007,6.560393963,24.4,44.2,40.6,0.618,30.791,18461,360,25.86002925,3.55,Machine_Failure,5/31/2022,2022,5,31,Tuesday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-19.8,31.409,30.46094528,0.660335515,19.16702048,High_CuttingForce
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,60.51,6.893181921,6.141237748,4.1,47.3,31.4,0.983,25.516,26526,354,25.51587386,3.55,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-43.2,26.499,8.778239236,0.94881425,18.9261117,High_CuttingForce_with_Low_HydraulicPressure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,137.37,5.918357337,7.228066182,5.4,48,32.7,0.903,25.597,27613,319,25.52133005,3.55,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-42.6,26.5,23.21083236,0.987695389,18.92993104,High_CuttingForce
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,135.93,6.560332199,6.710999273,19.3,48.8,37.4,1.24,32.138,26605,438,25.45465209,3.58,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-29.5,33.378,20.71998732,0.951640019,18.89225646,High_CuttingForce
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,127.7151635,5.060708564,6.002229092,20.8,45.8,37.5,1.125,19.823,14266,334,34.97300419,2.02,No_Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,20.948,25.23661695,0.51028365,25.08710293,Normal_Operation
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,123.618456,5.074379701,6.039523625,4.5,51.5,32.1,0.69,16.972,20413,278,32.51929855,2.88,No_Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,17.662,24.36129405,0.730157027,23.62750899,Normal_Operation
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,134.02,5.567856573,6.733095792,14,47.9,35.2,0.748,36.601,20504,379,25.61856721,3.93,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-33.9,37.349,24.07030394,0.733412026,19.11199705,High_CuttingForce
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,71.71,5.358623507,6.525744181,34.3,43,32.4,0.671,25.069,17919,396,25.46144,3.67,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-8.7,25.74,13.382168,0.6409486,18.924008,High_CoolantTemp_with_Low_HydraulicPressure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,134.54,4.566853902,5.758371467,11.5,46.2,37.6,0.661,18.75,21951,366,25.61306937,3.59,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-34.7,19.411,29.46010599,0.785170083,19.00614856,High_CuttingForce
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,55.53,6.960635908,6.382844492,14.7,47.2,36.2,0.896,29.317,25528,364,25.46415618,3.69,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-32.5,30.213,7.977719383,0.913116572,18.93190933,High_CuttingForce_with_Low_HydraulicPressure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,61.73,4.62776082,6.082861294,30.3,50.2,28,0.884,27.513,18660,328,25.58424437,3.55,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-19.9,28.397,13.33906449,0.667453589,18.97397106,High_CoolantTemp_with_Low_HydraulicPressure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,80.27,4.622771809,6.335997361,29.8,51.2,31.1,0.438,26.668,18644,349,25.60620039,3.67,Machine_Failure,3/31/2022,2022,3,31,Thursday,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,-21.4,27.106,17.36404117,0.666881282,19.02534027,High_CoolantTemp_with_Low_HydraulicPressure
